time,I
737.999,6.8
738.198,6.56
738.396,6.8
738.795,7.52
739.584,6.8
739.787,7.52
739.977,6.8
740.176,7.52
740.573,6.8
740.776,7.52
742.355,6.8
742.554,7.52
751.068,7.2
751.471,6.8
751.66,7.2
751.858,7.52
752.058,7.2
754.038,6.8
754.238,7.2
755.035,6.84
755.235,7.2
755.832,6.8
756.031,7.2
760.42,7.43
760.619,7.2
761.814,7.43
762.017,7.2
762.609,7.43
762.808,7.2
763.207,7.43
763.606,7.2
763.804,7.43
764.203,7.2
764.4,7.43
764.802,7.2
765.199,7.43
765.398,7.2
766.196,7.43
766.396,7.2
767.193,7.43
767.39,7.2
767.587,7.43
768.181,7.2
768.38,6.84
768.782,6.51
768.981,6.84
769.381,7.43
769.58,6.84
769.779,7.43
769.977,6.84
770.975,6.51
771.373,6.84
771.77,7.43
771.971,6.51
772.168,7.43
772.566,6.84
774.355,7.43
774.757,6.84
774.97,7.43
775.156,6.84
775.355,7.43
775.554,6.51
775.951,7.43
776.15,6.51
852.588,6.75
852.588,6.51
852.588,6.43
852.589,6.19
852.589,6.51
852.589,6.43
852.589,6.51
852.589,6.19
852.589,6.51
852.589,6.19
852.589,6.43
852.593,6.11
852.594,6.43
852.594,6.11
852.594,6.43
852.594,6.11
852.594,6.43
852.594,6.11
852.594,6.43
852.594,6.11
852.594,6.43
852.594,6.11
852.595,6.34
852.595,6.02
944.931,6.74
944.932,6.02
944.932,6.74
944.932,6.02
944.933,6.14
944.933,6.02
944.933,6.74
944.933,5.42
944.934,6.02
944.934,6.74
944.934,6.02
944.934,6.14
944.935,6.38
944.935,6.14
944.935,6.02
944.935,6.74
944.935,6.14
944.935,6.74
944.935,6.02
944.936,6.14
944.936,6.74
944.936,6.98
944.937,6.14
944.937,6.74
944.937,6.14
944.937,5.66
944.938,6.65
944.938,5.33
944.939,6.06
944.939,5.74
944.939,6.06
944.944,5.74
944.944,6.06
944.944,5.74
944.944,5.97
944.945,5.74
944.945,5.97
944.945,5.65
944.945,5.88
944.946,5.65
944.946,5.88
944.946,5.65
944.946,5.88
944.947,5.65
944.947,5.88
944.947,5.65
944.947,5.88
944.947,5.65
944.947,5.88
944.947,5.56
944.948,5.88
944.948,5.56
944.948,5.88
944.948,5.56
944.948,5.24
944.948,5.56
944.949,5.24
944.949,5.56
944.949,5.24
944.949,5.56
944.95,5.24
944.95,5.56
944.95,5.24
944.95,5.56
944.95,5.24
944.95,5.56
944.95,5.24
944.951,5.6
944.951,5.24
944.951,5.56
944.951,5.24
945.139,5.56
945.33,4.88
945.532,5.6
945.731,5.56
945.934,5.24
946.729,5.48
946.931,5.24
947.132,5.48
948.127,4.88
948.324,5.48
948.523,4.88
948.722,5.48
949.52,4.88
949.717,5.48
950.318,5.24
950.515,5.48
951.111,5.24
951.351,5.48
951.509,5.24
951.711,5.48
953.699,4.88
954.895,5.48
955.093,4.88
955.293,5.48
956.09,4.88
957.483,5.48
958.48,4.88
958.68,5.48
958.877,4.88
959.078,5.48
959.275,4.88
959.475,5.48
959.669,4.88
960.272,5.48
